Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tkeep[3:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_0_axis_tready,design_1_i/system_ila_0/inst/net_slot_0_axis_tlast,design_1_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tstrb[3:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_1_axis_tready,design_1_i/system_ila_0/inst/net_slot_1_axis_tlast,design_1_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tstrb[3:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_2_axis_tready,design_1_i/system_ila_0/inst/net_slot_2_axis_tlast,Interface_(i1:s0)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s1)_(axis_data_fifo_1_M_AXIS)[2:0],Interface_(i1:s2)_(Upsampling_Bayes_0_m00_axis1)[2:0],T_Channel_(i1:s0)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s1)_(axis_data_fifo_1_M_AXIS)[2:0],T_Channel_(i1:s2)_(Upsampling_Bayes_0_m00_axis1)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
129,129,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
130,130,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
131,131,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
132,132,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
133,133,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
134,134,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
135,135,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
136,136,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
137,137,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
138,138,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
139,139,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
140,140,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
141,141,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
142,142,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
143,143,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
144,144,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
145,145,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
146,146,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
147,147,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
148,148,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
149,149,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
